MADRID_cloud_cover,MADRID_global_radiation,MADRID_humidity,MADRID_precipitation,MADRID_pressure,MADRID_sunshine,MADRID_temp_max,MADRID_temp_mean,MADRID_temp_min
5,1.77,0.56,0.0,1.0139,7.1,20.0,16.0,12.0
6,0.79,0.68,0.19,1.01,0.9,18.1,14.2,10.3
5,1.72,0.72,0.16,1.0074,6.9,18.8,15.5,12.2
8,1.11,0.7,0.38,1.0148,2.7,17.4,13.2,9.0
8,0.62,0.94,2.31,1.0108,0.3,17.4,14.7,12.0
7,0.59,0.94,0.24,1.0094,0.2,14.4,12.7,11.0
7,1.31,0.79,0.4,1.0129,4.2,16.4,12.8,9.2
8,1.29,0.89,0.49,1.0086,4.1,14.8,12.4,10.0
6,1.36,0.86,0.0,1.0146,4.7,15.5,12.4,9.3
4,1.73,0.74,0.0,1.018,7.8,17.0,12.7,8.4
7,0.53,0.84,0.0,1.0143,0.1,15.4,12.4,9.4
1,1.84,0.58,0.0,1.0162,9.0,16.6,13.1,9.6
3,1.86,0.54,0.0,1.0204,9.3,16.0,12.4,8.8
1,1.88,0.56,0.0,1.0215,9.6,16.2,12.1,8.0
4,1.72,0.66,1.36,1.0181,8.3,17.4,12.4,7.4
6,0.5,0.89,2.59,1.0065,0.1,15.4,12.3,9.2
3,1.85,0.73,0.0,1.0131,9.8,16.0,10.9,5.8
4,1.71,0.68,0.0,1.0192,8.6,14.4,9.8,5.2
0,1.85,0.64,0.0,1.0245,10.1,13.4,8.9,4.4
0,1.87,0.67,0.0,1.0248,10.5,14.7,9.5,4.3
7,1.27,0.64,0.0,1.0193,5.1,16.4,11.9,7.4
8,0.53,0.83,0.8,1.008,0.3,13.4,11.3,9.2
6,1.41,0.8,0.02,1.0064,6.5,11.8,9.5,7.2
8,0.41,0.86,0.82,1.0059,0.0,13.1,10.5,7.9
7,0.84,0.88,1.13,0.9995,2.1,13.6,12.2,10.8
7,0.74,0.88,0.8,1.0052,1.5,14.0,11.5,9.0
8,0.4,0.86,1.2,1.0106,0.0,14.0,10.8,7.6
8,1.35,0.78,0.0,1.0095,6.5,13.3,10.5,7.7
6,0.9,0.84,0.48,1.011,2.8,11.8,9.9,8.0
8,0.38,0.95,1.28,1.0059,0.0,11.4,10.0,8.6
8,0.38,0.92,1.87,0.9968,0.0,11.5,9.3,7.1
3,1.4,0.68,0.05,1.0153,7.5,12.5,9.7,6.9
8,0.37,0.92,0.87,1.0158,0.0,10.6,8.3,6.0
5,1.31,0.88,0.0,1.0138,6.8,18.5,14.1,9.7
6,0.56,0.87,0.05,1.0125,0.8,13.8,12.2,10.6
4,1.09,0.66,0.0,1.0192,4.9,15.0,11.5,8.0
5,0.49,0.88,0.25,1.0217,0.5,11.4,8.4,5.4
7,0.88,0.85,0.9,1.0102,3.2,12.0,10.0,8.0
3,1.41,0.6,0.0,1.0176,8.5,12.1,9.1,6.1
0,1.47,0.72,0.0,1.0183,9.3,12.4,8.1,3.8
6,0.73,0.79,0.0,1.016,2.2,10.4,7.2,4.0
7,0.34,0.75,0.0,1.0149,0.0,10.6,8.5,6.4
7,0.52,0.76,0.0,1.015,0.8,11.8,9.4,7.0
8,0.33,0.89,0.53,1.014,0.0,9.6,8.1,6.6
4,1.11,0.81,0.42,1.0107,6.0,12.7,10.2,7.7
