BASEL_cloud_cover,BASEL_global_radiation,BASEL_humidity,BASEL_precipitation,BASEL_pressure,BASEL_sunshine,BASEL_temp_max,BASEL_temp_mean,BASEL_temp_min
7,0.51,0.89,0.1,1.018,1.2,9.6,5.6,4.1
8,0.31,0.93,0.06,1.018,0.1,7.1,4.3,2.8
8,0.42,0.88,0.0,1.018,0.6,6.1,3.3,1.8
6,0.48,0.85,0.03,1.018,1.1,5.9,2.5,-2.7
8,0.65,0.76,0.36,1.018,2.9,10.0,6.8,2.6
7,0.4,0.85,0.57,1.018,0.6,12.6,9.1,5.5
7,0.24,0.94,0.88,1.018,0.0,10.7,7.2,5.8
6,0.29,0.9,0.0,1.018,0.1,9.7,6.4,5.2
5,0.79,0.82,0.0,1.018,5.2,10.6,6.6,1.7
7,0.23,0.85,0.86,1.018,0.0,10.2,8.0,4.2
4,0.86,0.81,0.0,1.018,6.7,11.9,6.1,2.5
7,0.23,0.87,0.54,1.018,0.0,10.7,6.7,1.6
6,0.5,0.67,0.31,1.018,1.8,10.9,7.3,4.8
8,0.22,0.9,0.34,1.018,0.0,7.1,5.2,4.1
2,0.86,0.76,0.0,1.018,7.3,12.4,6.5,3.5
5,0.26,0.79,0.0,1.018,0.1,7.6,4.6,1.8
8,0.28,0.88,0.1,1.018,0.2,9.5,6.4,2.0
5,0.36,0.93,0.15,1.018,0.7,11.6,6.7,4.8
7,0.67,0.78,0.0,1.018,4.5,13.4,7.4,4.4
8,0.34,0.74,0.0,1.018,0.6,14.1,10.9,4.2
4,0.75,0.57,0.0,1.018,6.2,16.2,13.4,9.7
7,0.38,0.66,0.19,1.018,1.0,16.3,10.7,8.2
8,0.2,0.95,0.2,1.018,0.0,9.7,4.6,3.3
7,0.33,0.86,0.0,1.018,0.6,5.4,3.5,-0.7
0,0.75,0.8,0.0,1.018,6.6,8.3,3.5,-1.2
1,0.76,0.78,0.0,1.018,7.7,8.9,3.7,-0.6
7,0.26,0.89,0.09,1.018,0.2,5.1,3.4,-0.2
5,0.66,0.77,0.0,1.018,5.7,10.8,5.5,2.9
6,0.52,0.5,0.19,1.018,3.2,15.4,11.6,2.4
8,0.18,0.8,0.67,1.018,0.0,13.9,7.8,5.8
8,0.31,0.8,0.06,1.018,0.6,9.3,6.6,5.2
5,0.38,0.9,0.0,1.018,1.3,6.7,3.1,0.9
8,0.25,0.87,0.0,1.018,0.2,3.9,2.2,-2.5
8,0.18,0.98,0.35,1.018,0.0,1.2,0.9,-0.3
8,0.18,0.97,0.0,1.018,0.0,0.7,0.6,-0.6
8,0.18,0.94,0.0,1.018,0.0,0.9,0.4,-0.8
8,0.18,0.86,0.0,1.018,0.0,0.7,-0.1,-1.3
8,0.18,0.88,0.05,1.018,0.0,-0.3,-3.1,-4.1
8,0.17,0.9,0.0,1.018,0.0,-0.8,-1.4,-3.9
8,0.17,0.84,0.0,1.018,0.0,0.3,-0.4,-2.2
8,0.17,0.9,0.0,1.018,0.0,-0.2,-0.6,-1.8
8,0.17,0.92,0.0,1.018,0.0,0.1,-0.8,-2.2
8,0.17,0.95,0.62,1.018,0.0,-0.5,-1.5,-2.2
7,0.34,0.87,0.04,1.018,1.0,3.4,1.3,-3.1
8,0.17,0.93,0.33,1.018,0.0,4.3,2.0,0.8
7,0.42,0.95,0.0,1.018,2.0,3.1,0.6,-2.1
8,0.17,0.93,0.13,1.018,0.0,2.1,0.2,-2.1
8,0.4,0.94,0.0,1.018,1.7,2.1,-1.6,-3.0
8,0.17,0.83,0.0,1.018,0.0,-1.4,-2.2,-4.7
4,0.48,0.81,0.0,1.018,2.8,-0.3,-3.6,-7.1
4,0.67,0.78,0.48,1.018,6.4,1.4,-0.9,-5.7
8,0.18,0.98,0.55,1.018,0.0,1.4,0.9,-1.0
4,0.41,0.93,0.0,1.018,1.8,4.4,0.9,-1.2
7,0.37,0.89,0.01,1.018,1.3,4.0,1.5,-1.3
6,0.62,0.85,0.06,1.018,5.3,1.3,-1.0,-3.1
6,0.18,0.94,0.08,1.018,0.0,5.9,2.0,-2.5
8,0.18,0.97,0.21,1.018,0.0,2.1,1.1,-0.2
8,0.18,0.88,0.16,1.018,0.0,7.5,4.4,-1.0
8,0.18,0.78,0.38,1.018,0.0,12.8,4.9,2.4
7,0.34,0.7,0.26,1.018,0.8,6.8,4.2,1.1
7,0.27,0.88,0.0,1.018,0.3,5.3,1.7,0.5
7,0.19,0.85,0.03,1.018,0.0,5.7,1.7,-1.6
5,0.23,0.84,0.0,1.018,0.1,4.6,2.5,1.1
8,0.19,0.9,0.4,1.018,0.0,6.2,2.6,-1.2
7,0.28,0.84,0.18,1.018,0.3,6.5,3.9,1.6
7,0.3,0.9,0.41,1.018,0.4,4.8,2.2,1.1
8,0.19,0.98,0.19,1.018,0.0,3.7,2.1,1.5
8,0.2,0.93,0.0,1.018,0.0,2.2,-1.4,-1.9
3,0.55,0.86,0.0,1.018,3.1,0.6,-2.0,-4.6
5,0.53,0.84,0.0,1.018,2.7,1.1,-1.6,-4.1
5,0.58,0.7,0.0,1.018,3.4,-1.2,-2.2,-2.9
3,0.5,0.81,0.0,1.018,2.2,0.5,-2.7,-4.1
3,0.32,0.93,0.0,1.018,0.4,-1.0,-2.7,-4.7
5,0.45,0.92,0.0,1.018,1.5,-0.7,-3.2,-3.9
1,0.81,0.89,0.0,1.018,6.9,1.4,-2.4,-5.9
8,0.29,0.93,0.32,1.018,0.2,0.9,-0.2,-3.5
5,0.55,0.95,0.0,1.018,2.4,5.0,1.5,0.2
5,0.64,0.84,0.3,1.018,3.5,4.7,1.5,0.0
8,0.22,0.98,1.1,1.018,0.0,2.2,1.1,0.1
8,0.23,0.98,0.82,1.018,0.0,1.6,0.1,-0.7
8,0.23,0.97,0.09,1.018,0.0,3.4,1.6,0.2
